,Unnamed: 0,storeNumber,latitude,longitude,postalCode
0,7958,75988-107245,61.174006,-149.981584,99502
1,7959,75697-94324,61.173768,-149.982953,995021023
2,7960,74430-51979,61.194274,-149.915872,995173340
3,7961,79664-81037,61.137251,-149.956031,995071401
4,7962,25371-240771,61.194103,-149.912474,995033619
5,7963,11426-99254,61.180256,-149.883519,995037247
6,7964,72784-33081,61.136188,-149.919695,995151453
7,7965,72788-84447,61.194269,-149.865203,995084218
8,7966,8973-85630,61.144874,-149.86312,995152050
9,7967,24936-233524,61.128204,-149.885022,995152607
10,7968,3774-145044,61.12948,-149.880492,995152673
11,7969,9622-85633,61.181266,-149.835734,995071166
12,7970,74352-84449,61.142214,-149.844636,995073444
13,7971,72727-61659,61.136019,-149.838012,995074456
14,7972,12449-152385,61.10862,-149.854519,995153596
15,7973,3513-125945,61.208259,-149.776929,995042300
16,7974,74266-52019,61.196392,-149.736069,995043554
17,7975,75323-100264,61.2272,-149.7534,99506
18,7976,20349-108249,61.211128,-149.736846,99504
19,7977,76943-129964,61.226379,-149.746937,995046105
20,7978,17941-159568,61.228718,-149.742496,995046115
21,7979,75471-106357,61.2621,-149.6772,99505
22,7980,74265-64199,61.323613,-149.571479,995777722
23,7981,10126-97747,61.325462,-149.570782,995777823
24,7982,72772-78880,61.34592,-149.55249,995777565
25,7983,4146-104969,61.58106,-149.43562,996548102
26,7984,17912-136436,61.576466,-149.40542,996547335
27,7985,72773-82040,61.579469,-149.408955,996548283
28,7986,76916-131305,61.577923,-149.402975,996547350
29,7987,15313-159926,61.598008,-149.126866,996456535
30,7988,72980-94694,61.600499,-149.125301,996456387
31,15950,79719-100712,64.835473,-147.808659,997094779
32,15951,58716-289570,64.837272,-147.802991,99705
33,15952,72709-33079,64.835542,-147.818177,997094610
34,15953,27150-246609,64.817451,-147.867551,99709
35,15954,50880-276225,64.850309,-147.700516,997011748
36,15955,74452-94707,64.851434,-147.700123,997011706
37,15956,72975-95761,64.854451,-147.690057,997013138
38,15957,70386-135644,64.825206,-147.634483,99703
39,15958,25843-94709,64.757555,-147.353936,997056081
40,27426,74283-69901,58.37096,-134.594819,99801
41,27427,79324-94693,58.359662,-134.561859,998018035
42,27910,74640-93401,55.34808,-131.674025,999015900
43,28004,74706-97007,60.128956,-149.43355,99664
44,28005,74695-94706,60.483985,-151.070792,996698033
45,28006,64930-297329,60.486803,-151.056078,99669
46,28007,72946-94692,60.48982,-151.049933,996697640
47,28008,56039-108638,60.560152,-151.240553,996117811
48,28009,74474-94708,57.810493,-152.367255,996156638
49,28256,74917-98110,59.642343,-151.536481,996037439
50,6694,11324-104129,30.680694,-88.073381,366042006
51,6695,62621-295509,30.692813,-88.041239,36602
52,6696,9970-97273,30.675957,-88.122975,366063201
53,6697,25695-236913,30.654526,-88.117739,366062637
54,6698,10538-101306,30.703434,-88.125139,366081559
55,6699,8581-86640,30.675623,-88.144815,366081621
56,6700,19891-192724,30.697467,-88.178802,36688
57,6701,10537-96355,30.661586,-88.190289,366953925
58,6702,62304-295316,30.597553,-88.160878,36619
59,6703,63249-296130,30.802848,-88.11058,36571
60,6704,8724-93235,30.681701,-88.225839,366958960
61,6705,72658-64920,30.674076,-88.228448,366958979
62,6706,13211-104121,30.654776,-87.906651,365269520
63,6707,55053-182664,30.603173,-87.896818,36526
64,6708,10249-96359,30.667173,-87.851533,365275694
65,6709,9971-96354,30.376105,-87.682023,365353488
66,6710,76584-99835,30.303182,-87.682965,365422819
67,6711,24727-236464,30.269692,-87.587782,365616107
68,6712,62750-296441,31.103631,-87.480865,36502
69,7135,10772-101748,32.383071,-86.184056,361174226
70,7136,2960-85962,32.357936,-86.169713,361176876
71,7137,21849-215404,32.360529,-86.16297,36117
72,7138,3426-240988,32.35543,-86.216851,36106
73,7139,10771-102253,32.338357,-86.182264,361161337
74,7140,61244-293908,32.356209,-86.130891,36117
75,7141,9809-97244,32.354003,-86.264278,361062692
76,7142,63849-296629,32.380152,-86.309878,36104
77,7143,58324-288888,32.525175,-86.210297,36092
78,7144,65358-297437,32.269672,-86.355863,36105
79,7145,20585-202066,32.459319,-86.391077,360667708
80,7146,76796-108570,32.4735,-86.4258,36066
81,7147,48351-260804,32.583501,-85.490331,368325819
82,7148,22803-218127,32.6058,-85.488746,36849
83,7149,57036-290811,32.601066,-85.485205,36849
84,7150,47255-121766,32.61068,-85.46332,368304404
85,7151,28815-250212,32.624936,-85.446608,368302803
86,7152,76396-80263,32.617486,-85.410808,368011511
87,7153,9544-97240,32.617886,-85.403916,368015498
88,8705,13779-108621,33.526757,-86.719465,352102410
89,8706,22706-222686,33.561162,-86.753145,35212
90,8707,18675-189964,33.563303,-86.750761,35212
91,8708,75268-97436,33.508757,-86.789623,352051601
92,8709,8418-41260,33.483781,-86.774087,352232304
93,8710,18944-175726,33.470668,-86.771293,35209
94,8711,23642-225124,33.509609,-86.802771,352332091
95,8712,9587-97243,33.456268,-86.735658,352435243
96,8713,24427-237908,33.506672,-86.803452,352331826
97,8714,25845-235684,33.501341,-86.807357,35233
98,8715,70067-133044,33.498159,-86.806889,352031624
99,8716,3453-93234,33.597285,-86.645411,352353308
100,8717,72614-22325,33.43177,-86.713087,352425028
101,8718,8560-79440,33.446058,-86.791451,352161866
102,8719,72615-22327,33.602864,-86.637799,352353104
103,8720,6965-85181,33.421726,-86.699291,352425148
104,8721,76843-111224,33.607155,-86.806764,350681677
105,8722,3478-92800,33.418973,-86.669846,352426510
106,8723,11083-267625,33.444942,-86.826827,35209
107,8724,13703-107628,33.40374,-86.806824,352164524
108,8725,64732-294806,33.383229,-86.739691,35244
109,8726,23630-227625,33.650473,-86.82392,350712493
110,8727,5108-145307,33.4022,-86.832,352264600
111,8728,6964-86620,33.372421,-86.811611,352441001
112,8729,59586-292654,33.33327,-86.786353,35124
113,8730,24032-228009,33.356448,-86.854793,352442102
114,8731,76912-128666,33.3302,-86.9308,350227305
115,8732,63683-297435,33.364449,-86.998017,350225279
116,8733,76795-96265,33.228,-86.8139,350074657
117,8734,13210-95453,33.223992,-86.801786,350074690
118,8735,10796-102254,33.214926,-86.826014,350075387
119,8736,57670-291162,33.173456,-86.284475,35150
120,8737,17221-169985,34.152098,-86.843535,350555547
121,8738,23672-230991,33.995711,-86.08271,35904
122,9532,72668-65003,33.192491,-87.51856,354044785
123,9533,13482-249086,33.197359,-87.524518,354045850
124,9534,72121-3608,33.214493,-87.545864,35487
125,9535,48066-207044,33.205982,-87.547243,35401
126,9536,47023-256271,33.165856,-87.549457,354053905
127,20934,12493-152666,34.756818,-86.712041,35806
128,20935,11428-104120,34.753649,-86.740188,357588751
129,20936,72635-32262,34.741159,-86.682051,358061776
130,20937,16910-165028,34.751055,-86.755426,35758
131,20938,48885-260445,34.708284,-86.748701,35758
132,20939,53972-286058,34.69734,-86.632688,35898
133,20940,10062-99521,34.741708,-86.601421,358015927
134,20941,61109-294898,34.720202,-86.584031,35801
135,20942,9507-96863,34.719742,-86.578434,358014543
136,20943,9543-97230,34.691553,-86.574532,358021350
